exam_id,exam_name,question_number,question_text,image_code,image_path,observacoes
le04,Legislação 04,26,"Diante da placa ao lado (A-38), você entende que só passam veículos com",A-38,images/placas_A-38.webp,
le04,Legislação 04,27,"Diante da placa ao lado (A-40), você entende que existe",A-40,images/placas_A-40.png,
le04,Legislação 04,28,"Diante da placa ao lado (A-41), você entende que existe um cruzamento",A-41,images/placas_A-41.png,
le04,Legislação 04,29,"Diante da placa ao lado (A-43), você entende que",A-43,images/placas_A-43.webp,
le05,Legislação 05,5,"Diante da placa ao lado (A-1a), você entende que",A-1a,images/placas_A-1a.jpg,
le05,Legislação 05,6,"Diante da placa ao lado (A-1b), você entende que",A-1b,images/placas_A-1b.webp,
le05,Legislação 05,7,"Diante da placa ao lado (A-2a), você entende que",A-2a,images/placas_A-2a.webp,
le05,Legislação 05,8,"Diante da placa ao lado (A-3a), você entende que vai encontrar",A-3a,images/placas_A-3a.png,
le05,Legislação 05,9,"Diante da placa ao lado (A-3b), você entende que vai encontrar",A-3b,images/placas_A-3b.webp,
le05,Legislação 05,10,"Diante da placa ao lado (A-4a), você entende que vai encontrar",A-4a,images/placas_A-4a.png,
le05,Legislação 05,11,"Diante da placa ao lado (A-4b), você entende que vai encontrar",A-4b,images/placas_A-4b.png,
le05,Legislação 05,12,"Diante da placa ao lado (A-6), você entende que",A-6,images/placas_A-6.webp,
le05,Legislação 05,13,"Diante da placa ao lado (A-7a), você entende que adiante existe",A-7a,images/placas_A-7a.webp,
le05,Legislação 05,14,"Diante da placa ao lado (A-7b), você entende que adiante existe",A-7b,images/placas_A-7b.png,
le05,Legislação 05,15,"Diante da placa ao lado (A-9), você entende que está próximo de uma bifurcação em ""Y"",",A-9,images/placas_A-9.jpeg,
le05,Legislação 05,16,"Diante da placa ao lado (A-15), você entende que adiante existe uma",A-15,images/placas_A-15.webp,
le05,Legislação 05,17,"Diante da placa ao lado (A-19), você entende que existe uma",A-19,images/placas_A-19.png,
le05,Legislação 05,18,"Diante da placa ao lado (A-20a), você entende que adiante existe uma descida",A-20a,images/placas_A-20a.png,
le05,Legislação 05,19,"Diante da placa ao lado (A-20b), você entende que adiante existe uma",A-20b,images/placas_A-20b.png,
le05,Legislação 05,20,"Diante da placa ao lado (A-24), você entende que adiante você vai encontrar obras",A-24,images/placas_A-24.png,
le05,Legislação 05,21,"Diante da placa ao lado (A-26a), você entende que o sentido de circulação é",A-26a,images/placas_A-26a.png,
le05,Legislação 05,22,"Diante da placa ao lado (A-26b), você entende que o sentido de circulação é",A-26b,images/placas_A-26b.png,
le05,Legislação 05,23,"Diante da placa ao lado (A-28), você entende que",A-28,images/placas_A-28.png,
le05,Legislação 05,24,"Diante da placa ao lado (A-32a), você entende que há travessia de",A-32a,images/placas_A-32a.png,
le05,Legislação 05,25,"Diante da placa ao lado (A-33a), você entende que irá",A-33a,images/placas_A-33a.png,
le05,Legislação 05,26,"Diante da placa ao lado (A-35), você entende que nesta área",A-35,images/placas_A-35.png,
le05,Legislação 05,27,"Diante da placa ao lado (A-39), você entende que existe adiante um cruzamento rodoferroviário em nível",A-39,images/placas_A-39.png,
le05,Legislação 05,28,"Diante da placa ao lado (A-42a), você entende que",A-42a,images/placas_A-42a.png,
le05,Legislação 05,29,"Diante da placa ao lado (A-42b), você entende que",A-42b,images/placas_A-42b.png,
le05,Legislação 05,30,"Diante da placa ao lado (A-44), você entende que",A-44,images/placas_A-44.png,
le10,Legislação 10,8,"Diante da placa ao lado (A-32b), você entende que adiante poderá encontrar",A-32b,images/placas_A-32b.png,
le10,Legislação 10,9,"Diante da placa ao lado (A-33b), você entende que adiante poderá encontrar",A-33b,images/placas_A-33b.png,
le10,Legislação 10,10,"Diante da placa ao lado (A-42c), você entende que adiante",A-42c,images/placas_A-42c.png,
le10,Legislação 10,11,"Diante da placa ao lado (A-36), você entende que nesta área",A-36,images/placas_A-36.png,
le10,Legislação 10,13,"Diante da placa ao lado (A-2b), você entende que existe adiante",A-2b,images/placas_A-2b.png,
le10,Legislação 10,15,"Diante da placa ao lado (A-5b), você entende que vai encontrar",A-5b,images/placas_A-5b.png,
le10,Legislação 10,16,"Diante da placa ao lado (A-27), você entende que a área sinalizada",A-27,images/placas_A-27.webp,
le10,Legislação 10,17,"Diante da placa ao lado (A-43), você entende que",A-43,images/placas_A-43.webp,
le10,Legislação 10,18,"Diante da placa ao lado (A-26a), você entende que o sentido de circulação é",A-26a,images/placas_A-26a.png,
le10,Legislação 10,19,"Diante da placa ao lado (A-42a), você entende que",A-42a,images/placas_A-42a.png,
le10,Legislação 10,20,"Diante da placa ao lado (A-42b), você entende que",A-42b,images/placas_A-42b.png,
le10,Legislação 10,21,"Diante da placa ao lado (A-2b), você entende que existe",A-2b,images/placas_A-2b.png,
le10,Legislação 10,22,"Diante da placa ao lado (A-21b), você entende que a pista vai se estreitar",A-21b,images/placas_A-21b.png,
le10,Legislação 10,23,"Diante da placa ao lado (A-29), você entende que no trecho sinalizado",A-29,images/placas_A-29.webp,
pm03,Prova Mista 03,1,"Diante da placa ao lado (R-25b), você entende que",R-25b,images/placas_R-25b.png,
pm03,Prova Mista 03,3,"Diante da placa ao lado (R-25c), você entende que",R-25c,images/placas_R-25c.png,
pm03,Prova Mista 03,5,"Diante da placa ao lado (R-26), você entende que",R-26,images/placas_R-26.png,
pm03,Prova Mista 03,7,"Diante da placa ao lado (R-27), você entende que",R-27,images/placas_R-27.png,
pm03,Prova Mista 03,9,"Diante da placa ao lado (R-28), você entende que",R-28,images/placas_R-28.png,
pm03,Prova Mista 03,11,"Diante da placa ao lado (R-29), você entende que é",R-29,images/placas_R-29.png,
pm03,Prova Mista 03,12,"Diante da placa ao lado (R-30), você entende que",R-30,images/placas_R-30.png,
pm03,Prova Mista 03,13,"Diante da placa ao lado (R-31), você entende que",R-31,images/placas_R-31.png,
pm03,Prova Mista 03,15,"Diante da placa ao lado (R-32), você entende que",R-32,images/placas_R-32.png,
pm03,Prova Mista 03,16,"Diante da placa ao lado (R-33), você entende que",R-33,images/placas_R-33.png,
pm03,Prova Mista 03,17,"Diante da placa ao lado (R-34), você entende que",R-34,images/placas_R-34.png,
pm03,Prova Mista 03,18,"Diante da placa ao lado (R-18), você entende que só podem circular veículos com",R-18,images/placa_R-18.png,
pm03,Prova Mista 03,19,"Diante da placa ao lado (R-22), você entende que deve",R-22,images/placas_R-22.png,
pm03,Prova Mista 03,20,"Diante da placa ao lado (R-25d), você entende que",R-25d,images/placas_R-25d.png,
pm03,Prova Mista 03,22,"Diante da placa ao lado (R-10), você entende que é",R-10,images/placas_R-10.png,
pm03,Prova Mista 03,23,"Diante da placa ao lado (R-12), você entende que é",R-12,images/placas_R-12.png,
pm03,Prova Mista 03,24,"Diante da placa ao lado (R-13), você entende que é",R-13,images/placas_R-13.png,
pm03,Prova Mista 03,25,A placa ao lado (R-6b) é usada para sinalizar,R-6b,images/placas_R-6b.png,
pm03,Prova Mista 03,28,"Diante da placa ao lado (R-13), você entende que",R-13,images/placas_R-13.png,
pm03,Prova Mista 03,29,As placas de sinalização vertical de regulamentação (com exceção da placa <PARE> (R-2) devem ter,R-2,images/placas_R-2.webp,
pm04,Prova Mista 04,2,"Diante da placa ao lado (I-11), você entende que",I-11,images/placas_I-11.png,
pm04,Prova Mista 04,4,"Diante da placa ao lado (I-13), você entende que é uma área com",I-13,images/placas_I-13.jpg,
pm04,Prova Mista 04,6,"Diante da placa ao lado (I-14), você entende que encontrará",I-14,images/placas_I-14.jpg,
pm04,Prova Mista 04,7,"Diante da placa ao lado (I-15), você entende que existe",I-15,images/placas_I-15.webp,
pm04,Prova Mista 04,9,"Diante da placa ao lado (I-17), você entende que existe",I-17,images/placas_I-17.jpg,
pm04,Prova Mista 04,10,"Diante da placa ao lado (I-19), você entende que é uma área",I-19,images/placas_I-19.png,
pm04,Prova Mista 04,11,"Diante da placa ao lado (I-20), você entende que",I-20,images/placas_I-20.jpg,
pm04,Prova Mista 04,12,"Diante da placa ao lado (I-22), você entende que existe",I-22,images/placas_I-22.jpg,
pm04,Prova Mista 04,13,"Diante da placa ao lado (I-23), você entende que existe",I-23,images/placas_I-23.webp,
pm04,Prova Mista 04,19,"Diante da placa ao lado (I-12), você entende que",I-12,images/placas_I-12.webp,
pm04,Prova Mista 04,20,"Diante da placa ao lado (I-18), você entende que há um",I-18,images/placas_I-18.png,
pm04,Prova Mista 04,21,"Diante da placa ao lado (I-21), você entende que",I-21,images/placas_I-21.png,
pm04,Prova Mista 04,30,"Diante da placa ao lado (I-16), você entende que existe uma",I-16,images/placas_I-16.webp,
prova_01,Simulado 01,1,"Diante da placa ao lado (A-42c), você entende que adiante",A-42c,images/placas_A-42c.png,
prova_01,Simulado 01,2,"Diante da placa ao lado (A-18), você entende que há saliência ou lombada",A-18,images/placas_A-18.webp,
prova_01,Simulado 01,5,"Diante da placa ao lado (R-25b), você entende que",R-25b,images/placas_R-25b.png,
prova_01,Simulado 01,6,"Diante da placa ao lado (R-1), você entende que deve",R-1,images/placas_R-1.png,
prova_01,Simulado 01,8,"Diante da placa ao lado (A-34), você entende que nesta área",A-34,images/placas_A-34.webp,
prova_01,Simulado 01,9,"Diante da placa ao lado (I-13), você entende que é uma área com",I-13,images/placas_I-13.jpg,
prova_02,Simulado 02,1,"Diante da placa ao lado (A-42b), você entende que",A-42b,images/placas_A-42b.png,
prova_02,Simulado 02,4,"Diante da placa ao lado (A-10b), você entende que existe um entroncamento oblíquo",A-10b,images/placas_A-10b.webp,
prova_02,Simulado 02,5,"Diante da placa ao lado (R-18), você entende que só podem circular veículos com",R-18,images/placa_R-18.png,
prova_02,Simulado 02,7,"Diante da placa ao lado (A-10a), você entende que existe um entroncamento oblíquo",A-10a,images/placas_A-10a.webp,
prova_02,Simulado 02,8,"Diante da placa ao lado (R-6c), você entende que",R-6c,images/placas_R-6c.webp,
prova_03,Simulado 03,1,"Diante da placa ao lado A-26a),você entende que o sentido de circulação é",SEM_CODIGO,,
prova_03,Simulado 03,2,"Diante da placa ao lado (A-4a), você entende que vai encontrar",A-4a,images/placas_A-4a.png,
prova_03,Simulado 03,5,"Diante da placa ao lado (R-23), você entende que deve",R-23,images/placas_R-23.webp,
prova_03,Simulado 03,8,"Diante da placa ao lado (A-10a), você entende que existe um entroncamento oblíquo",A-10a,images/placas_A-10a.webp,
prova_03,Simulado 03,10,"Diante da placa ao lado (I-12), você entende que",I-12,images/placas_I-12.webp,
prova_04,Simulado 04,5,"Diante da placa ao lado (A-35), você entende que nesta área",A-35,images/placas_A-35.png,
prova_04,Simulado 04,7,"Diante da placa ao lado (R-17), você entende que só podem circular veículos com",R-17,images/placas_R-17.webp,
prova_04,Simulado 04,10,"Diante da placa ao lado (A-37), você entende que só passam veículos com",A-37,images/placas_A-37.webp,
prova_05,Simulado 05,2,As placas de sinalização vertical de regulamentação (com exceção da placa <PARE> (R-2) devem ter,R-2,images/placas_R-2.webp,
prova_05,Simulado 05,6,"Diante da placa ao lado (I-14), você entende que encontrará",I-14,images/placas_I-14.jpg,
prova_05,Simulado 05,7,"Diante da placa ao lado (A-1a), você entende que",A-1a,images/placas_A-1a.jpg,
prova_05,Simulado 05,9,"Diante da placa ao lado (R-26), você entende que",R-26,images/placas_R-26.png,
prova_06,Simulado 06,5,"Diante da placa ao lado (A-21c), você entende que a pista vai se estreitar",A-21c,images/placas_A-21c.webp,
prova_06,Simulado 06,8,"Diante da placa ao lado (R-18), você entende que só podem circular veículos com",R-18,images/placa_R-18.png,
prova_07,Simulado 07,1,"Diante da placa ao lado (I-15), você entende que existe",I-15,images/placas_I-15.webp,
prova_07,Simulado 07,4,"Diante da placa ao lado (R-16), você entende que aqui só é permitida a circulação de veículos com",R-16,images/placas_R-16.webp,
prova_07,Simulado 07,6,"Diante da placa ao lado (A-32b), você entende que adiante poderá encontrar",A-32b,images/placas_A-32b.png,
prova_07,Simulado 07,8,"Diante da placa ao lado (R-6b), você entende que",R-6b,images/placas_R-6b.png,
prova_08,Simulado 08,9,"Diante da placa ao lado (R-28), você entende que",R-28,images/placas_R-28.png,
prova_09,Simulado 09,5,"Diante da placa ao lado (A-26a), você entende que o sentido de circulação é",A-26a,images/placas_A-26a.png,
prova_09,Simulado 09,6,"Diante da placa ao lado (R-26), você entende que",R-26,images/placas_R-26.png,
prova_09,Simulado 09,7,"Diante da placa ao lado (R-13), você entende que é",R-13,images/placas_R-13.png,
prova_09,Simulado 09,8,"Diante da placa ao lado (A-8), você entende que a mensagem é bifurcação em ""T"",",A-8,images/placas_A-8.webp,
prova_09,Simulado 09,9,"Diante da placa ao lado (R-25c), você entende que",R-25c,images/placas_R-25c.png,
prova_10,Simulado 10,5,"Diante da placa ao lado (A-25), você entende que",A-25,images/placas_A-25.webp,
prova_11,Simulado 11,3,"Diante da placa ao lado (R-25a), você entende que",R-25a,images/placas_R-25a.png,
prova_11,Simulado 11,4,"Diante da placa ao lado (A-13b), você entende que adiante existe uma",A-13b,images/placas_A-13b.webp,
prova_11,Simulado 11,5,"Diante da placa ao lado (R-20), você entende que é",R-20,images/placas_R-20.png,
prova_11,Simulado 11,7,"Diante da placa ao lado (I-16), você entende que existe uma",I-16,images/placas_I-16.webp,
prova_11,Simulado 11,10,"Diante da placa ao lado (A-28), você entende que",A-28,images/placas_A-28.png,
prova_12,Simulado 12,1,"Diante da placa ao lado (A-41), você entende que existe um cruzamento",A-41,images/placas_A-41.png,
prova_12,Simulado 12,2,"Diante da placa ao lado (A-38), você entende que só passam veículos com",A-38,images/placas_A-38.webp,
prova_12,Simulado 12,10,"Diante da placa ao lado (R-20), você entende que é",R-20,images/placas_R-20.png,
prova_13,Simulado 13,2,"Diante da placa ao lado (A-36), você entende que nesta área",A-36,images/placas_A-36.png,
prova_13,Simulado 13,4,"Diante da placa ao lado (A-24), você entende que adiante você vai encontrar obras",A-24,images/placas_A-24.png,
prova_13,Simulado 13,6,"Diante da placa ao lado (A-40), você entende que existe",A-40,images/placas_A-40.png,
prova_13,Simulado 13,10,"Diante da placa ao lado (A-20b), você entende que adiante existe uma",A-20b,images/placas_A-20b.png,
prova_14,Simulado 14,3,"Diante da placa ao lado (A-1a), você entende que",A-1a,images/placas_A-1a.jpg,
prova_14,Simulado 14,6,"Diante da placa ao lado (A-5a), o condutor entende que vai encontrar",A-5a,images/placas_A-5a.webp,
prova_14,Simulado 14,8,"Diante da placa ao lado (R-5), você entende que é proibido",R-5,images/placas_R-5.webp,
prova_15,Simulado 15,3,"Diante da placa ao lado (R-17), você entende que só podem circular veículos com",R-17,images/placas_R-17.webp,
prova_15,Simulado 15,6,"Diante da placa ao lado (A-20a), você entende que adiante existe uma descida",A-20a,images/placas_A-20a.png,
prova_15,Simulado 15,7,"Diante da placa ao lado (R-2), você entende que deve",R-2,images/placas_R-2.webp,
prova_15,Simulado 15,9,"Diante da placa ao lado (A-15), você entende que adiante existe uma",A-15,images/placas_A-15.webp,
prova_16,Simulado 16,6,"Diante da placa ao lado (R-20), você entende que é",R-20,images/placas_R-20.png,
prova_16,Simulado 16,8,"Diante da placa ao lado (A-42b), você entende que",A-42b,images/placas_A-42b.png,
prova_17,Simulado 17,3,"Diante da placa ao lado (A-10a), você entende que existe um entroncamento oblíquo",A-10a,images/placas_A-10a.webp,
prova_17,Simulado 17,5,"Diante da placa ao lado (A-21b), você entende que a pista vai se estreitar",A-21b,images/placas_A-21b.png,
prova_18,Simulado 18,3,"Diante da placa ao lado (R-21), você entende que",R-21,images/placas_R-21.webp,
prova_19,Simulado 19,1,"Diante da placa ao lado (A-29), você entende que no trecho sinalizado",A-29,images/placas_A-29.webp,
prova_19,Simulado 19,6,"Diante da placa ao lado (A-43), você entende que",A-43,images/placas_A-43.webp,
prova_19,Simulado 19,8,"Diante da placa ao lado (A-13a), você entende que existe adiante",A-13a,images/placas_A-13a.webp,
prova_20,Simulado 20,1,"Diante da placa ao lado (R-4b), você entende que é proibido:",R-4b,images/placas_R-4b.png,
prova_20,Simulado 20,6,"Diante da placa ao lado (A-8), você entende que a mensagem é bifurcação em ""T"",",A-8,images/placas_A-8.webp,
prova_21,Simulado 21,3,"Diante da placa ao lado (A-16), você entende que existe",A-16,images/placas_A-16.png,
prova_21,Simulado 21,4,"Diante da placa ao lado (A-21b), você entende que a pista vai se estreitar",A-21b,images/placas_A-21b.png,
prova_23,Simulado 23,3,"Diante da placa ao lado (A-19), você entende que existe uma",A-19,images/placas_A-19.png,
prova_23,Simulado 23,10,"Diante da placa ao lado (A-32b), você entende que adiante poderá encontrar",A-32b,images/placas_A-32b.png,
prova_24,Simulado 24,3,"Diante da placa ao lado (A-32b), você entende que adiante poderá encontrar",A-32b,images/placas_A-32b.png,
prova_24,Simulado 24,4,"Diante da placa ao lado (A-27), você entende que a área sinalizada",A-27,images/placas_A-27.webp,
prova_24,Simulado 24,5,"Diante da placa ao lado (R-14), você entende que aqui só é permitida a circulação de veículos com",R-14,images/placas_R-14.webp,
prova_24,Simulado 24,7,"Diante da placa ao lado (A-5b), você entende que vai encontrar",A-5b,images/placas_A-5b.png,
prova_24,Simulado 24,8,"Diante da placa ao lado (A-42a), você entende que",A-42a,images/placas_A-42a.png,
prova_24,Simulado 24,10,"Diante da placa ao lado (A-24), você entende que adiante você vai encontrar obras",A-24,images/placas_A-24.png,
prova_25,Simulado 25,1,A placa ao lado (R-6b) é usada para sinalizar,R-6b,images/placas_R-6b.png,
prova_25,Simulado 25,2,"Diante da placa ao lado (A-42a), você entende que",A-42a,images/placas_A-42a.png,
prova_25,Simulado 25,4,"Diante da placa ao lado (R-23), você entende que deve",R-23,images/placas_R-23.webp,
prova_25,Simulado 25,8,"Diante da placa ao lado (R-24b), você entende que",R-24b,images/placas_R-24b.webp,
prova_25,Simulado 25,10,"Diante da placa ao lado (A-29), você entende que no trecho sinalizado",A-29,images/placas_A-29.webp,
prova_26,Simulado 26,1,"Diante da placa ao lado (A-21a), você entende que a pista vai se estreitar",A-21a,images/placas_A-21a.png,
prova_26,Simulado 26,6,"Diante da placa ao lado (A-7b), você entende que adiante existe",A-7b,images/placas_A-7b.png,
prova_26,Simulado 26,9,"Diante da placa ao lado (A-32a), você entende que há travessia de",A-32a,images/placas_A-32a.png,
prova_26,Simulado 26,10,"Diante da placa ao lado (R-30), você entende que",R-30,images/placas_R-30.png,
prova_28,Simulado 28,1,"Diante da placa ao lado (R-19), você",R-19,images/placas_R-19.jpg,
prova_28,Simulado 28,3,"Diante da placa ao lado (R-30), você entende que",R-30,images/placas_R-30.png,
prova_28,Simulado 28,7,"Diante da placa ao lado (A-23), você entende que adiante existe uma ponte",A-23,images/placas_A-23.webp,
prova_28,Simulado 28,9,"Diante da placa ao lado (A-5a), o condutor entende que vai encontrar",A-5a,images/placas_A-5a.webp,
prova_29,Simulado 29,1,"Diante da placa ao lado (R-19), você",R-19,images/placas_R-19.jpg,
prova_29,Simulado 29,2,"Diante da placa ao lado (R-23), você entende que deve",R-23,images/placas_R-23.webp,
prova_29,Simulado 29,9,"Diante da placa ao lado (I-13), você entende que é uma área com",I-13,images/placas_I-13.jpg,
prova_30,Simulado 30,2,"Diante da placa ao lado (R-7), você entende que é",R-7,images/placas_R-7.webp,
prova_30,Simulado 30,5,"Diante da placa ao lado (A-36), você entende que nesta área",A-36,images/placas_A-36.png,
prova_30,Simulado 30,9,"Diante da placa ao lado (A-33b), você entende que adiante poderá encontrar",A-33b,images/placas_A-33b.png,
prova_30,Simulado 30,10,"Diante da placa ao lado (R-24a), você entende que deve",R-24a,images/placas_R-24a.png,
